date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-01-26,10861.15875,260667.81,12012.98,9182.97,975.7706337593202,2830.01,0.9041186075395115,1.1060495732096725,802.3216666666666,19255.719999999998,943.1,698.07,71.12476848998264,245.02999999999997,0.8507280952885872,1.175463706368809,5774.220416666667,138581.29,6753.71,4725.77,614.776226765049,2027.9399999999996,0.8549701448043618,1.169631484885153,39107.45208333333,938578.8499999999,43134.85,33199.82,3279.961971473581,9935.029999999999,0.9066323885056592,1.1029828767183494
2021-01-27,10986.396666666666,263673.51999999996,11896.08,9406.66,864.8924347930895,2489.42,0.9235308325655733,1.0828008819391497,873.9849999999998,20975.639999999996,998.61,757.73,70.59299959135005,240.88,0.8752015301268762,1.142593980445889,5931.544166666667,142357.06,6709.02,4792.19,646.8255617136911,1916.8300000000008,0.8841148433998804,1.1310747777454804,40342.23666666667,968213.68,44160.76,34177.65,3407.991377399873,9983.11,0.9135313039600467,1.0946532381157845
2021-01-28,11632.096666666666,279170.32,12919.17,10119.2,885.0102057857451,2799.9699999999993,0.9003749208863004,1.1106484385589415,909.8312500000001,21835.95,1108.13,796.43,92.39267391964442,311.70000000000016,0.8210510048460018,1.2179511310476532,6912.461666666666,165899.08,8488.68,5903.3,764.1609126734833,2585.38,0.8143152606373035,1.2280256165374759,43916.51708333333,1.05399641e6,51663.47,39434.88,3696.137776229904,12228.590000000004,0.8500496982361683,1.1764018057708565
2021-01-29,11373.270416666668,272958.49000000005,12598.77,10376.34,692.8583688289696,2222.4300000000003,0.9027286327686487,1.1077526110288782,827.8754166666666,19869.01,994.3,729.42,74.19515676090562,264.88,0.8326213584096014,1.2010261205767172,6445.30875,154687.41,8205.16,5302.76,755.8283219282038,2902.3999999999996,0.78551896002028,1.2730437467406042,41362.89124999999,992709.3899999999,48871.54,36247.62,3384.3128581342994,12623.919999999998,0.8463594814077885,1.181531042030337
2021-01-30,10666.641249999999,255999.38999999996,11389.6,9609.68,631.3388800368592,1779.92,0.9365246584603496,1.0677775443136799,703.5854166666667,16886.05,770.23,666.69,31.037889744936603,103.53999999999996,0.9134744383712224,1.094721382442904,5445.9675,130703.22,6146.35,4657.84,487.4367203902293,1488.5100000000002,0.8860490372334799,1.1286057068831206,36537.89916666666,876909.58,39013.97,33006.76,2091.841156117109,6007.209999999999,0.9365337382139439,1.067767192143117
2021-01-31,10227.039166666667,245448.94000000003,11234.06,9197.18,639.2720618621903,2036.8799999999992,0.9103600271555135,1.098466507942548,757.9279166666665,18190.269999999997,849.34,668.58,54.707724673479845,180.76,0.892372803196207,1.1206078854244608,5469.3358333333335,131264.06,6285.38,4654.95,488.0701840649441,1630.4300000000003,0.8701678869588367,1.149203521512286,37025.003333333334,888600.08,40792.95,32781.04,2577.4995142084763,8011.909999999996,0.9076324054360702,1.1017676253191424
2021-02-01,11442.812916666668,274627.51,12577.08,9917.55,842.140484203557,2659.5300000000007,0.9098147516487665,1.0991248473250184,811.4083333333334,19473.800000000003,994.72,716.03,79.17597701469735,278.69000000000005,0.8157153101710365,1.225917899947622,6229.447916666667,149506.75,7537.19,5223.52,647.3553195215608,2313.669999999999,0.826494743620191,1.2099290500261692,40931.6875,982360.5,47907.11,35849.82,3412.133562825274,12057.29,0.8543969256337942,1.1704161964981288
2021-02-02,11519.252499999997,276462.05999999994,12805.06,10490.92,713.5478351245064,2314.1399999999994,0.8995859839782084,1.1116224772397343,772.645,18543.48,903.93,697.27,60.02369054037712,206.65999999999997,0.85476198378193,1.1699163263853387,6290.865833333333,150980.78,7834.66,5555.26,642.5127773584277,2279.3999999999996,0.8029532657873263,1.2454024942777484,40419.45583333333,970066.9400000001,47524.18,36601.61,3122.4682821362812,10922.57,0.8505029615099794,1.1757748594133102
2021-02-03,11268.025833333335,270432.62000000005,12243.84,10201.06,649.4078308998575,2042.7800000000007,0.9203016237825171,1.0866002777327675,752.9770833333333,18071.45,901.36,645.31,66.11326502951069,256.05000000000007,0.8353788534362888,1.1970616635632447,6004.057083333333,144097.37,7159.38,5181.43,546.1324328440553,1977.9499999999998,0.8386280771984911,1.192423706275833,38987.894583333335,935709.4700000001,44705.32,34327.14,2785.407835065325,10378.18,0.8721086122039465,1.1466461699912045
2021-02-04,11098.472916666668,266363.35000000003,12147.1,9496.53,993.0864736527192,2650.5699999999997,0.9136726392856457,1.0944839070390127,707.3337499999999,16976.01,795.12,590.53,65.59026006779413,204.59000000000003,0.8895937091256664,1.1241086686447523,5732.196250000002,137572.71000000005,6583.13,4551.7,691.1752125487776,2031.4300000000003,0.8707402481798174,1.1484481188165876,37501.73125,900041.5499999999,41451.58,31184.54,3499.311456409567,10267.04,0.9047117444015402,1.1053244375218012
